run_id,owner,status,model,dataset,tokens,schedule,decay_start,decay_length,final_lr_ratio,trigger,seed,result,notes
policy_decay_combined_5k_20260607-085230,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,2621440000,warmup_stable,,,,combined,1,3.579194278717041,"policy decay — combined (loss_variance_low AND grad_snr_low) trigger from step 3500, decay_length=500, final_lr_ratio=0.25"
policy_decay_grad_snr_7k_20260607-172016,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,3670016000,warmup_stable,,,,grad_snr_low,1,3.4927525901794434,"policy decay — grad_snr_low trigger from step 4900, decay_length=700, final_lr_ratio=0.25. Thresholds from p10 of steps 6000-7000 on wsd_intermediate_10k."
policy_decay_loss_variance_7k_20260607-172022,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,3670016000,warmup_stable,,,,loss_variance_low,1,3.4905287837982177,"policy decay — loss_variance_low trigger from step 4900, decay_length=700, final_lr_ratio=0.25. Thresholds from p10 of steps 6000-7000 on wsd_intermediate_10k."
policy_decay_combined_7k_20260607-172011,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,3670016000,warmup_stable,,,,combined,1,3.4938618755340576,"policy decay — combined (loss_variance_low AND grad_snr_low) trigger from step 4900, decay_length=700, final_lr_ratio=0.25. Thresholds from p10 of steps 6000-7000 on wsd_intermediate_10k."
policy_decay_baseline_7k_20260607-171959,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,3670016000,wsd_s,6300,700,0.25,fixed,1,3.495245780944824,"policy decay baseline — fixed wsd_s decay at step 6300 (end 7000), final_lr_ratio=0.25"
wsd_intermediate_plateau_amount_sweep_5k_20260607-074756,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,2621440000,warmup_stable,,,,fixed,1,3.6237917041778562,plateau-region decay amount sweep 5k steps — probes every 500 steps from 2500 to 4500
wsd_intermediate_10k_20260606-071741,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,wsd_s,9000,1000,0.01,fixed,1,3.4422494983673095,"WSD 10k steps — 20% decay window (8000-10000), final_lr_ratio=0.01"
wsd_beta_intermediate_10k_20260606-082147,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,wsd_beta,,,,fixed,1,3.4873674583435057,"WSD-beta 10k steps — LR + beta1/beta2 co-decay (9000-10000), final_lr_ratio=0.01"
cosine_intermediate_10k_20260606-162651,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,cosine,,,0.01,fixed,1,3.4770062828063963,Cosine 10k steps — min_lr_ratio=0.01
policy_decay_baseline_10k_9k_20260609-152357,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,wsd_s,9000,1000,0.1,fixed,1,3.427831506729126,"policy decay baseline — fixed wsd_s decay at step 9000 (end 10000, 10% remaining), final_lr_ratio=0.1"
policy_decay_baseline_10k_8k_20260609-152356,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,wsd_s,8000,2000,0.1,fixed,1,3.430303955078125,"policy decay baseline — fixed wsd_s decay at step 8000 (end 10000, 20% remaining), final_lr_ratio=0.1"
policy_decay_baseline_10k_7k_20260609-152357,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,wsd_s,7000,3000,0.1,fixed,1,3.435098743438721,"policy decay baseline — fixed wsd_s decay at step 7000 (end 10000, 30% remaining), final_lr_ratio=0.1"
policy_decay_grad_snr_10k_20260609-152731,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,warmup_stable,,,,grad_snr_low,1,3.4460171985626222,"policy decay — grad_snr_low, gate at 70% of steps (7k), lookback 10% (1k steps), p5 threshold, decay_length=1000, final_lr_ratio=0.1."
policy_decay_loss_variance_10k_20260609-152748,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,warmup_stable,,,,loss_variance_low,1,3.443960790634155,"policy decay — loss_variance_low, gate at 70% of steps (7k), lookback 10% (1k steps), p5 threshold, decay_length=1000, final_lr_ratio=0.1."
policy_decay_combined_10k_20260609-152719,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,warmup_stable,,,,combined,1,3.4450059032440183,"policy decay — combined (loss_variance_low AND grad_snr_low), gate at 70% of steps (7k), lookback 10% (1k steps), p5 threshold, decay_length=1000, final_lr_ratio=0.1."
policy_decay_combined_10k_20260610-080334,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,warmup_stable,,,,combined,1,3.437057361602783,"policy decay — combined (loss_variance_low AND grad_snr_low), gate at 70% of steps (7k), lookback 10% (1k steps), p5 threshold, decay_length=1000, final_lr_ratio=0.1."
policy_decay_baseline_10k_8k_20260610-080323,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,wsd_s,8000,2000,0.1,fixed,1,3.4302227306365967,"policy decay baseline — fixed wsd_s decay at step 8000 (end 10000, 20% remaining), final_lr_ratio=0.1"
policy_decay_baseline_10k_9k_20260610-080329,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,wsd_s,9000,1000,0.1,fixed,1,3.426271734237671,"policy decay baseline — fixed wsd_s decay at step 9000 (end 10000, 10% remaining), final_lr_ratio=0.1"
policy_decay_baseline_10k_7k_20260610-204423,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,wsd_s,7000,3000,0.1,fixed,1,3.436261224746704,"policy decay baseline — fixed wsd_s decay at step 7000 (end 10000, 30% remaining), final_lr_ratio=0.1"
policy_decay_grad_snr_10k_20260610-223421,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,warmup_stable,,,,grad_snr_low,1,3.4347692108154297,"policy decay — grad_snr_low, gate at 70% of steps (7k), lookback 10% (1k steps), p5 threshold, decay_length=1000, final_lr_ratio=0.1."
policy_decay_loss_variance_10k_20260610-223455,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,5242880000,warmup_stable,,,,loss_variance_low,1,3.436192035675049,"policy decay — loss_variance_low, gate at 70% of steps (7k), lookback 10% (1k steps), p5 threshold, decay_length=1000, final_lr_ratio=0.1."
c4_policy_decay_baseline_10k_9k_20260610-081121,TBD,finished,llama_intermediate_512x8,allenai/c4,5242880000,wsd_s,9000,1000,0.1,fixed,1,3.443593130111694,"C4 external validation - fixed wsd_s decay at step 9000 (end 10000, 10% remaining), final_lr_ratio=0.1"
c4_policy_decay_loss_variance_10k_20260610-081244,TBD,finished,llama_intermediate_512x8,allenai/c4,5242880000,warmup_stable,,,,loss_variance_low,1,3.4538945007324218,"C4 external validation - loss_variance_low policy, gate at 70% of steps, lookback 10%, p3 threshold, adaptive decay to end, final_lr_ratio=0.1."
c4_policy_decay_grad_snr_10k_20260610-081221,TBD,finished,llama_intermediate_512x8,allenai/c4,5242880000,warmup_stable,,,,grad_snr_low,1,3.4508406352996825,"C4 external validation - grad_snr_low policy, gate at 70% of steps, lookback 10%, p3 threshold, adaptive decay to end, final_lr_ratio=0.1."
c4_policy_decay_baseline_10k_7k_20260610-081051,TBD,finished,llama_intermediate_512x8,allenai/c4,5242880000,wsd_s,7000,3000,0.1,fixed,1,3.452076997756958,"C4 external validation - fixed wsd_s decay at step 7000 (end 10000, 30% remaining), final_lr_ratio=0.1"
c4_policy_decay_combined_10k_20260610-081200,TBD,finished,llama_intermediate_512x8,allenai/c4,5242880000,warmup_stable,,,,combined,1,3.4507786941528322,"C4 external validation - combined policy (loss_variance_low AND grad_snr_low), gate at 70% of steps, lookback 10%, p3 threshold, adaptive decay to end, final_lr_ratio=0.1."
c4_policy_decay_baseline_10k_8k_20260610-081109,TBD,finished,llama_intermediate_512x8,allenai/c4,5242880000,wsd_s,8000,2000,0.1,fixed,1,3.448760108947754,"C4 external validation - fixed wsd_s decay at step 8000 (end 10000, 20% remaining), final_lr_ratio=0.1"
